part_date,customer_id,customer_group_by_age,transaction_amount,most_exp_article_id,number_of_articles,number_of_product_groups
2019-12,0017b2f422cfd01cf33537c8b5c65cfa75199595a1be8256136879bb0f6ae3b5,A,0.07623728813559321100,0770321002,2,2
2019-12,001d121ef41e0baa79997cc868b197ca9dc61f0a2eb22e53cb28cc1e48a06d95,A,0.09486440677966100800,0798791002,3,2
2019-12,002ab66a356b9bdd44e23565b243b7c8d40288fa4155e3fc02203b6577588b55,A,0.06776271186440677200,0706016003,2,1
2019-12,00305f830d7e04c1047a65883197435643c3146804a97d0da4a7d228f01c9d1c,A,0.08471186440677965000,0800804001,2,2
2019-12,00316f5b2d35c335cd5caad859e6696b9ef49a61697a77b55c0d17c4988fea13,A,0.02710169491525423600,0820360001,1,1
2019-12,00480b0897ac6a07e1c26633b01d3d6b551dd7efe5941d6074db0584362f28a8,A,0.01354237288135593100,0742038001,1,1
2019-12,0054b13bbf6e3ec32fc61b82f63d81731fa1d9cd5c31cdbfc37e3bf1b08b05c0,A,0.10166101694915254600,0819140001,2,2
2019-12,005f01252ff77a9f09f744cbac67d39717e84674417bf6368019fae62855e5c4,A,0.05081355932203389400,0674606056,2,1
2019-12,007759dd22af4d77e024ad78c3c82cbd4d9ae10cb1af803e24db5f9594071e01,A,0.08638983050847456700,0793108001,3,2
2019-12,007b0039f5f4af2f5936a728efb425dca66adb7576ba18f3235266342fe26226,S,0.02540677966101694700,0824148001,1,1
2019-12,008f9f4f2ba6290b850d7e4928a687eeb66e75505a7249f83c620cf867d948c3,A,0.02744067796610170000,0650122003,1,1
2019-12,00abc110705af95adf10036071291e0fa94b62fe0716171aa4b020b10d86f309,A,0.03201694915254238000,0794971001,1,1
2019-12,00b6e2c7b2e83f0f14ce41a18f6b15a7631743e6624d8c15babe98c232a86148,A,0.03047457627118644000,0757903003,2,2
2019-12,00c7b89047ca079a8b73dff1ba1a64c1186be112ba75a7090cee228013338832,A,0.04235593220338982500,0788006001,1,1
2019-12,00eebac2c2e37626461e74e8395711964c4e01a7afa64337d020436c9dcb9f3d,A,0.56138983050847459200,0775970001,19,6
2019-12,00fdd5b172c38ec602032622f0e0e8d3ab36be76abf8be1d8553530c4ee902d5,A,0.00335593220338983000,0784537005,2,1
2019-12,011cdd0ddceb4d313615b9549acb80364123d9b11dd08325ab9a48ccca214e24,R,0.02540677966101694700,0678086002,1,1
2019-12,0120cd1ef4db7d1a08c78f4fa92278322f5398fda305dc79b5e2c01aa134e92a,A,0.30825423728813557700,0456163060,13,3
2019-12,012357f2c1d0f873c6f8ffa1e8c6f633060fb2c60a15dd0042e65035625b6b6e,A,0.12025423728813558500,0751664001,5,2
2019-12,012910345252a27e8a8be71e41a15e25d73645413a6cecd9e40940b6dbd098fd,A,0.15249152542372879200,0708311019,3,1
2019-12,0139cb1108ec1f1688354e1e5b9b56b975bdd67a470465d128c80a73e2c0cdf4,R,0.01523728813559322000,0754713006,1,1
2019-12,0158a2b45cc443b00b6821a556df64f487899aa00d57787deab59d936808a6e8,A,0.02132203389830508400,0777148003,2,2
2019-12,015bb53848af545a84c7a86db4186a5d3d97bc09d4d9df7bcd8da7fe905ffc41,R,0.22023728813559319400,0580482012,6,3
2019-12,015ea7cb2341b7761fa9933a4c56ccb7002f98066be17c911df040af2bb966cf,A,0.04235593220338982500,0788006001,1,1
2019-12,01600e98e04e60d3c6ca5bea1ff4cf19de81de2bb2e38b6b406522b3b6834c14,A,0.04061016949152542130,0589662003,4,1
2019-12,0161e4664fdc7c73c16738df313d23eb09d23b78e667cf690ab36d4e03925a0e,A,0.01418644067796610100,0761350007,4,2
2019-12,016df7d26662486e52d27ba59dff69fd4f1d278986104899f67398eadcdb238f,A,0.01693220338983050800,0664074056,1,1
2019-12,017a783f24d636cb7b5b22da5fba8390d511b462ab402c89e18f7d905a341d29,A,0.07283050847457626500,0801309002,3,1
2019-12,017ea09b03518fafb705972ed3754f92cfa0b35409ca34b83137c9e59f450720,A,0.04911864406779660700,0755440002,2,1
2019-12,017f241fc12444b8dffd28aa53cd28e40f22a5360901892ca2c9ca7af4b7ccc9,A,0.21772881355932203700,0750422023,14,4
2019-12,0185045a55fb39c5e92840d6b82e6a679a404964733736a06d60137361d4dab0,S,0.11942372881355931300,0835417001,4,2
2019-12,018a5f82466bc763f7707f1846509719a5ffcd5782d67d3f9f09a5b81605a7cf,A,0.02710169491525423600,0821759001,1,1
2019-12,018fcaae4701ad4de8ab999bf19a58d89e75f8c09026f6c651edfcbde513b78d,A,0.11857627118644067600,0706016028,4,2
2019-12,01b58061ee5c30a3c6d44ba4a7e39e204ad9154c708a6d2f386b3ed454597914,S,0.24572881355932203600,0789087002,10,2
2019-12,01bce5e536d95e5cc606e75b0f44265cb8a2db46b41870dfad8f3c2d55f41ab4,S,0.02540677966101694700,0816586003,1,1
2019-12,01c571c92d269721b5345742ee2f39ff28b8ece3c34f8f7cc542d92b45060c2d,A,0.02708474576271186200,0820613003,2,1
2019-12,01d098b91feb1a3cb2b6ef5c4e729357190ff00ebfd939af87f46666d89580e5,A,0.18798305084745762000,0809961002,9,3
2019-12,01d3c7c54f54ec1d7198ba2f026e3385fa482168256c61d796924a570a445c81,A,0.01218644067796610100,0399223001,1,1
2019-12,01da249f0d3ba52e9ddcff37bbeb99b394a9a9c4109143613bc246bd2c1ddfd1,A,0.19311864406779658900,0855851001,6,3
2019-12,01db86c117b7ffc359a257daf911acefefe30888a3d72b267d3be083c4f69dae,S,0.17555932203389831000,0794053002,10,2
2019-12,01e2627815ffcd947e50907b29e4823fdf2361de2a1ae02fa472b91691546339,A,0.01354237288135593100,0752413001,1,1
